"","RNA-hipocampo-5xFAD-A.bam","RNA-hipocampo-5xFAD-B.bam","RNA-hipocampo-WT-A.bam","RNA-hipocampo-WT-B.bam"
"ENSMUSG00000108286",0,0,0,0
"ENSMUSG00000097996",0,0,0,0
"ENSMUSG00000108256",0,0,0,0
"ENSMUSG00000107655",0,0,1,1
"ENSMUSG00000077180",0,0,0,0
"ENSMUSG00000107848",0,0,0,0
"ENSMUSG00000088630",0,0,0,0
"ENSMUSG00000107739",0,0,0,0
"ENSMUSG00000045095",13,7,20,21
"ENSMUSG00000088627",0,0,0,0
"ENSMUSG00000089069",0,0,0,0
"ENSMUSG00000107545",0,0,0,0
"ENSMUSG00000107435",0,0,0,0
"ENSMUSG00000107616",0,0,0,0
"ENSMUSG00000107781",0,0,0,0
"ENSMUSG00000045100",1,3,4,3
"ENSMUSG00000030029",11,15,10,7
"ENSMUSG00000098531",0,0,0,0
"ENSMUSG00000107716",0,0,0,0
"ENSMUSG00000097943",0,0,0,0
"ENSMUSG00000092767",0,0,0,0
"ENSMUSG00000088595",0,0,0,0
"ENSMUSG00000107940",0,0,0,0
"ENSMUSG00000108187",0,0,0,0
"ENSMUSG00000093999",0,0,0,0
"ENSMUSG00000085413",0,0,0,0
"ENSMUSG00000030031",0,0,0,2
"ENSMUSG00000107934",0,0,0,0
"ENSMUSG00000107900",0,0,0,0
"ENSMUSG00000068180",0,0,0,0
"ENSMUSG00000068181",0,0,0,0
"ENSMUSG00000061838",7,4,4,8
"ENSMUSG00000107856",1,0,0,0
"ENSMUSG00000107747",26,57,25,40
"ENSMUSG00000059187",9,6,13,9
"ENSMUSG00000072878",0,0,0,0
"ENSMUSG00000065239",0,0,0,0
"ENSMUSG00000077598",0,0,0,0
"ENSMUSG00000046500",0,0,1,0
"ENSMUSG00000035245",1,7,6,7
"ENSMUSG00000107502",0,0,1,1
"ENSMUSG00000030059",5,3,1,4
"ENSMUSG00000065728",0,0,0,0
"ENSMUSG00000030061",2,4,3,3
"ENSMUSG00000035199",41,29,55,53
"ENSMUSG00000044086",0,0,0,0
"ENSMUSG00000030064",5,3,7,8
"ENSMUSG00000108185",0,0,0,0
"ENSMUSG00000064724",0,0,0,0
"ENSMUSG00000065017",0,0,0,0
"ENSMUSG00000108093",0,0,0,0
"ENSMUSG00000094510",0,0,0,0
"ENSMUSG00000089464",0,0,0,0
"ENSMUSG00000035158",2,2,1,1
"ENSMUSG00000083086",0,0,0,0
"ENSMUSG00000107902",0,0,0,0
"ENSMUSG00000090667",1,0,1,1
"ENSMUSG00000107614",0,0,0,0
"ENSMUSG00000107929",0,0,0,0
"ENSMUSG00000107938",0,0,0,0
"ENSMUSG00000107514",0,0,0,0
"ENSMUSG00000030067",12,10,11,9
"ENSMUSG00000105902",0,0,0,0
"ENSMUSG00000030068",0,0,0,0
"ENSMUSG00000093559",0,0,0,0
"ENSMUSG00000088699",0,0,0,0
"ENSMUSG00000084547",0,0,0,0
"ENSMUSG00000093661",2,0,3,5
"ENSMUSG00000107583",0,0,0,0
"ENSMUSG00000072875",12,17,12,15
"ENSMUSG00000030069",0,0,0,0
"ENSMUSG00000097548",0,0,0,1
"ENSMUSG00000108082",0,0,0,0
"ENSMUSG00000107713",0,0,0,0
"ENSMUSG00000084319",160,146,141,124
"ENSMUSG00000107204",0,0,0,0
"ENSMUSG00000087946",0,0,0,0
"ENSMUSG00000107528",0,0,0,0
"ENSMUSG00000108151",0,0,0,0
"ENSMUSG00000107558",0,0,0,0
"ENSMUSG00000072872",3,4,6,6
"ENSMUSG00000108269",0,0,0,0
"ENSMUSG00000107461",0,0,0,0
"ENSMUSG00000107690",0,0,0,0
"ENSMUSG00000087929",0,0,0,0
"ENSMUSG00000107663",0,0,0,0
"ENSMUSG00000101553",0,0,0,0
"ENSMUSG00000035378",2,2,3,0
"ENSMUSG00000079224",1,1,1,3
"ENSMUSG00000108019",0,0,0,0
"ENSMUSG00000108122",0,0,0,0
"ENSMUSG00000030074",0,1,0,1
"ENSMUSG00000084157",0,0,0,0
"ENSMUSG00000107989",0,0,0,0
"ENSMUSG00000052144",9,12,16,6
"ENSMUSG00000108074",0,0,0,0
"ENSMUSG00000108056",0,0,0,0
"ENSMUSG00000107887",0,0,0,0
"ENSMUSG00000107427",0,0,0,0
"ENSMUSG00000107954",0,0,0,0
"ENSMUSG00000107806",0,0,0,0
"ENSMUSG00000035357",10,2,7,8
"ENSMUSG00000097834",0,0,0,0
"ENSMUSG00000108076",0,0,0,0
"ENSMUSG00000108067",0,0,0,0
"ENSMUSG00000107448",0,0,0,0
"ENSMUSG00000107720",0,0,0,0
"ENSMUSG00000108274",0,0,0,0
"ENSMUSG00000107696",0,0,0,0
"ENSMUSG00000107738",0,0,0,0
"ENSMUSG00000052236",0,0,0,0
"ENSMUSG00000107579",0,0,0,0
"ENSMUSG00000107421",0,0,0,0
"ENSMUSG00000108177",0,0,0,0
"ENSMUSG00000030075",4,1,5,1
"ENSMUSG00000108092",0,0,0,0
"ENSMUSG00000107563",0,0,0,0
"ENSMUSG00000107533",0,0,0,0
"ENSMUSG00000098533",0,0,0,0
"ENSMUSG00000089288",0,0,0,0
"ENSMUSG00000108294",0,0,0,0
"ENSMUSG00000107445",0,0,0,0
"ENSMUSG00000108296",0,0,0,0
"ENSMUSG00000030077",11,15,17,21
"ENSMUSG00000107804",1,1,1,0
"ENSMUSG00000107919",0,0,0,0
"ENSMUSG00000107595",0,0,0,0
"ENSMUSG00000088265",0,0,0,0
"ENSMUSG00000107511",0,0,0,0
"ENSMUSG00000107823",0,0,0,0
"ENSMUSG00000089091",0,0,0,0
"ENSMUSG00000108172",0,0,0,0
"ENSMUSG00000107074",0,0,0,0
"ENSMUSG00000030092",0,0,0,1
"ENSMUSG00000107836",0,0,0,0
"ENSMUSG00000089587",0,0,0,0
"ENSMUSG00000094357",0,0,0,0
"ENSMUSG00000108237",0,0,0,0
"ENSMUSG00000108270",0,0,0,0
"ENSMUSG00000085067",3,1,5,0
"ENSMUSG00000064293",2,1,1,1
"ENSMUSG00000005364",0,0,0,0
"ENSMUSG00000013736",7,6,7,6
"ENSMUSG00000005362",5,8,9,8
"ENSMUSG00000094963",0,0,0,0
"ENSMUSG00000107981",0,0,0,0
"ENSMUSG00000107714",0,0,0,0
"ENSMUSG00000107697",0,0,0,0
"ENSMUSG00000098494",0,0,0,0
"ENSMUSG00000107674",0,0,0,0
"ENSMUSG00000034648",16,17,15,18
"ENSMUSG00000107496",0,0,0,0
"ENSMUSG00000107475",0,0,0,0
"ENSMUSG00000108009",0,0,0,0
"ENSMUSG00000034639",2,5,3,2
"ENSMUSG00000030101",6,8,7,8
"ENSMUSG00000091845",6,10,2,2
"ENSMUSG00000030102",27,22,44,37
"ENSMUSG00000098674",0,0,0,0
"ENSMUSG00000108219",0,0,0,0
"ENSMUSG00000105697",0,0,0,0
"ENSMUSG00000107458",0,0,0,0
"ENSMUSG00000043024",4,8,7,3
"ENSMUSG00000087341",0,0,1,2
"ENSMUSG00000102192",0,0,0,0
"ENSMUSG00000090576",0,0,0,0
"ENSMUSG00000030103",39,28,32,25
"ENSMUSG00000030105",53,32,54,51
"ENSMUSG00000030104",7,5,4,7
"ENSMUSG00000107751",0,0,0,0
"ENSMUSG00000107501",0,0,0,0
"ENSMUSG00000107641",0,0,0,0
"ENSMUSG00000107404",0,0,0,0
"ENSMUSG00000107551",0,0,0,0
"ENSMUSG00000108272",0,0,0,0
"ENSMUSG00000107930",0,0,0,0
"ENSMUSG00000108247",0,0,0,0
"ENSMUSG00000092448",0,0,1,0
"ENSMUSG00000056755",8,4,9,8
"ENSMUSG00000092603",0,0,0,0
"ENSMUSG00000089605",0,0,0,0
"ENSMUSG00000089084",0,0,0,0
"ENSMUSG00000089490",0,0,0,0
"ENSMUSG00000088572",0,0,0,0
"ENSMUSG00000107893",0,0,0,0
"ENSMUSG00000100219",0,0,0,0
"ENSMUSG00000077262",0,0,0,0
"ENSMUSG00000057604",2,1,1,4
"ENSMUSG00000044574",0,0,0,0
"ENSMUSG00000107559",0,0,0,0
"ENSMUSG00000034387",0,0,0,0
"ENSMUSG00000107541",0,0,0,0
"ENSMUSG00000062694",0,1,0,0
"ENSMUSG00000049112",5,5,5,7
"ENSMUSG00000099205",0,0,0,0
"ENSMUSG00000083443",7,12,6,5
"ENSMUSG00000094026",0,0,0,0
"ENSMUSG00000029633",3,1,2,2
"ENSMUSG00000030254",0,1,2,0
"ENSMUSG00000030257",116,105,116,115
"ENSMUSG00000108103",0,0,0,1
"ENSMUSG00000094189",0,0,0,0
"ENSMUSG00000108188",0,0,0,0
"ENSMUSG00000108215",0,0,0,0
"ENSMUSG00000065309",0,0,0,0
"ENSMUSG00000107455",0,0,0,0
"ENSMUSG00000030264",3,2,9,4
"ENSMUSG00000077431",0,0,0,0
"ENSMUSG00000086429",0,1,3,6
"ENSMUSG00000034269",33,31,29,40
"ENSMUSG00000042873",70,64,48,66
"ENSMUSG00000030269",3,2,2,7
"ENSMUSG00000090194",0,0,1,0
"ENSMUSG00000030270",7,1,6,5
"ENSMUSG00000107812",0,0,0,1
"ENSMUSG00000001632",9,11,7,7
"ENSMUSG00000085012",0,0,0,0
"ENSMUSG00000030271",1,0,2,1
"ENSMUSG00000030272",8,6,12,13
"ENSMUSG00000108162",0,0,0,0
"ENSMUSG00000048930",11,5,7,8
"ENSMUSG00000079426",22,36,27,27
"ENSMUSG00000030276",8,8,7,9
"ENSMUSG00000051169",0,3,1,2
"ENSMUSG00000107944",1,0,1,3
"ENSMUSG00000095146",0,0,0,0
"ENSMUSG00000030278",0,0,0,0
"ENSMUSG00000108018",0,0,0,0
"ENSMUSG00000051256",8,9,11,10
"ENSMUSG00000043088",0,1,0,0
"ENSMUSG00000030281",1,1,1,0
"ENSMUSG00000030284",21,21,18,23
"ENSMUSG00000045009",26,29,20,21
"ENSMUSG00000030286",19,23,19,21
"ENSMUSG00000092760",0,0,0,0
"ENSMUSG00000034023",0,0,5,1
"ENSMUSG00000107786",0,0,0,0
"ENSMUSG00000033963",0,0,0,0
"ENSMUSG00000033940",55,66,68,45
"ENSMUSG00000107937",0,0,0,0
"ENSMUSG00000107560",0,0,0,0
"ENSMUSG00000033933",14,21,15,9
"ENSMUSG00000097671",0,0,0,0
"ENSMUSG00000060477",11,6,6,6
"ENSMUSG00000107723",0,0,0,0
"ENSMUSG00000107846",0,0,0,0
"ENSMUSG00000108024",0,0,0,0
"ENSMUSG00000056952",10,11,18,10
"ENSMUSG00000106581",0,0,0,0
"ENSMUSG00000097994",3,2,2,6
"ENSMUSG00000064177",0,0,0,0
"ENSMUSG00000108154",0,0,0,0
"ENSMUSG00000108137",2,0,0,0
"ENSMUSG00000030298",17,21,7,12
"ENSMUSG00000030302",129,96,155,134
"ENSMUSG00000108297",1,0,1,0
"ENSMUSG00000087053",0,0,0,0
"ENSMUSG00000087083",0,0,0,0
"ENSMUSG00000107540",0,0,0,0
"ENSMUSG00000107474",0,0,0,0
"ENSMUSG00000030307",48,56,84,67
"ENSMUSG00000108186",0,0,0,0
"ENSMUSG00000030310",114,95,126,99
"ENSMUSG00000053004",4,2,5,6
"ENSMUSG00000030314",2,5,12,8
"ENSMUSG00000107411",0,0,0,1
"ENSMUSG00000118568",0,0,0,0
"ENSMUSG00000107566",0,0,0,0
"ENSMUSG00000107395",0,0,0,0
"ENSMUSG00000030315",9,6,10,11
"ENSMUSG00000030316",1,1,0,1
"ENSMUSG00000089134",0,0,0,0
"ENSMUSG00000107941",0,0,0,0
"ENSMUSG00000097486",1,0,0,2
"ENSMUSG00000009394",197,219,166,187
"ENSMUSG00000107489",0,0,0,0
"ENSMUSG00000092004",0,0,0,0
"ENSMUSG00000030317",9,17,13,14
"ENSMUSG00000000440",0,1,2,1
"ENSMUSG00000108141",0,0,0,0
"ENSMUSG00000107704",0,0,0,0
"ENSMUSG00000042389",3,10,5,2
"ENSMUSG00000068011",4,0,1,0
"ENSMUSG00000000439",9,8,4,4
"ENSMUSG00000107949",0,0,0,0
"ENSMUSG00000000441",2,1,0,0
"ENSMUSG00000081805",1,1,0,2
"ENSMUSG00000107994",0,0,0,0
"ENSMUSG00000088358",0,0,0,0
"ENSMUSG00000059900",0,0,2,0
"ENSMUSG00000098477",0,0,0,0
"ENSMUSG00000108204",0,0,0,0
"ENSMUSG00000030319",1,4,1,2
"ENSMUSG00000099163",0,0,0,0
"ENSMUSG00000057841",17,24,11,17
"ENSMUSG00000064563",0,0,0,0
"ENSMUSG00000030321",2,0,4,5
"ENSMUSG00000107429",0,0,0,0
"ENSMUSG00000030322",5,0,2,1
"ENSMUSG00000030323",4,4,6,0
"ENSMUSG00000030324",2,0,0,0
"ENSMUSG00000107548",0,0,0,0
"ENSMUSG00000042279",0,0,0,0
"ENSMUSG00000030123",16,9,14,23
"ENSMUSG00000030126",46,37,46,42
"ENSMUSG00000092625",0,0,0,0
"ENSMUSG00000101878",0,0,0,0
"ENSMUSG00000082474",0,0,0,0
"ENSMUSG00000108030",0,0,0,0
"ENSMUSG00000024104",16,13,12,15
"ENSMUSG00000107577",2,0,1,1
"ENSMUSG00000042213",1,0,1,1
"ENSMUSG00000107497",0,0,0,0
"ENSMUSG00000025702",13,22,16,18
"ENSMUSG00000077758",0,0,0,0
"ENSMUSG00000107556",0,0,0,0
"ENSMUSG00000025701",0,1,1,2
"ENSMUSG00000107914",0,0,0,0
"ENSMUSG00000053391",0,0,0,0
"ENSMUSG00000053251",0,0,0,0
"ENSMUSG00000081649",0,0,0,0
"ENSMUSG00000107906",3,5,4,4
"ENSMUSG00000051046",0,0,0,0
"ENSMUSG00000050654",0,0,0,0
"ENSMUSG00000108138",0,0,0,0
"ENSMUSG00000059878",3,5,6,5
"ENSMUSG00000107428",0,0,0,1
"ENSMUSG00000042129",3,0,8,1
"ENSMUSG00000098334",0,0,0,0
"ENSMUSG00000048489",0,3,0,0
"ENSMUSG00000048108",12,0,6,6
"ENSMUSG00000088374",0,0,0,0
"ENSMUSG00000108225",0,0,0,0
"ENSMUSG00000107415",0,0,0,0
"ENSMUSG00000107903",0,0,0,0
"ENSMUSG00000108038",0,0,0,0
"ENSMUSG00000061353",28,11,31,21
"ENSMUSG00000090549",0,0,0,0
"ENSMUSG00000107434",0,0,0,0
"ENSMUSG00000107852",0,0,0,1
"ENSMUSG00000108020",0,0,0,0
"ENSMUSG00000054488",0,1,0,0
"ENSMUSG00000107785",0,0,0,0
"ENSMUSG00000099869",0,0,0,0
"ENSMUSG00000104222",0,0,3,1
"ENSMUSG00000071237",0,0,0,0
"ENSMUSG00000059689",9,8,9,14
"ENSMUSG00000042097",7,17,15,16
"ENSMUSG00000099810",0,0,0,0
"ENSMUSG00000042079",8,3,6,3
"ENSMUSG00000042087",0,0,0,0
"ENSMUSG00000107608",0,0,0,0
"ENSMUSG00000004988",0,0,0,0
"ENSMUSG00000093105",0,0,0,0
"ENSMUSG00000082791",3,3,0,3
"ENSMUSG00000030134",73,92,80,94
"ENSMUSG00000098583",0,0,0,0
"ENSMUSG00000042042",3,2,3,0
"ENSMUSG00000077787",0,0,0,0
"ENSMUSG00000030110",0,0,3,1
"ENSMUSG00000107637",0,0,0,0
"ENSMUSG00000107791",0,0,0,0
"ENSMUSG00000107933",0,0,0,0
"ENSMUSG00000030138",8,11,8,11
"ENSMUSG00000030145",4,2,3,2
"ENSMUSG00000093079",0,0,0,0
"ENSMUSG00000072623",9,2,4,10
"ENSMUSG00000118520",0,0,0,0
"ENSMUSG00000007827",0,1,1,1
"ENSMUSG00000051331",25,16,43,25
"ENSMUSG00000100867",0,0,0,0
"ENSMUSG00000089115",0,0,0,0
"ENSMUSG00000041477",9,8,7,4
"ENSMUSG00000041460",0,1,0,0
"ENSMUSG00000055003",24,23,24,22
"ENSMUSG00000030168",41,28,34,28
"ENSMUSG00000030170",0,3,5,3
"ENSMUSG00000030019",9,8,17,12
"ENSMUSG00000030172",14,15,7,11
"ENSMUSG00000108282",0,0,0,0
"ENSMUSG00000080719",0,0,0,0
"ENSMUSG00000097831",0,0,0,0
"ENSMUSG00000030166",5,6,4,10
"ENSMUSG00000045962",37,43,37,26
"ENSMUSG00000089936",1,2,0,2
"ENSMUSG00000076217",0,0,0,0
"ENSMUSG00000041377",1,0,2,0
"ENSMUSG00000095086",0,0,0,0
"ENSMUSG00000041372",0,0,0,0
"ENSMUSG00000030177",2,0,4,5
"ENSMUSG00000030180",2,6,1,3
"ENSMUSG00000084454",0,0,0,0
"ENSMUSG00000002897",17,4,10,8
"ENSMUSG00000094626",31,21,34,22
"ENSMUSG00000058979",12,14,9,11
"ENSMUSG00000093739",1,0,0,0
"ENSMUSG00000088763",0,0,0,0
"ENSMUSG00000107744",0,0,0,0
"ENSMUSG00000107901",0,0,0,0
"ENSMUSG00000107580",0,0,0,0
"ENSMUSG00000071226",2,2,1,0
"ENSMUSG00000004902",18,18,19,17
"ENSMUSG00000019210",72,91,68,69
"ENSMUSG00000093409",0,0,0,0
"ENSMUSG00000009112",16,7,10,22
"ENSMUSG00000004446",5,5,5,9
"ENSMUSG00000108125",0,0,0,0
"ENSMUSG00000107971",0,0,0,0
"ENSMUSG00000051586",23,31,34,25
"ENSMUSG00000108232",0,0,0,0
"ENSMUSG00000108171",0,0,0,0
"ENSMUSG00000097011",0,0,0,0
"ENSMUSG00000108096",0,0,0,0
"ENSMUSG00000067825",7,11,7,10
"ENSMUSG00000107915",0,0,0,0
"ENSMUSG00000030137",3,3,3,1
"ENSMUSG00000086527",0,0,0,1
"ENSMUSG00000030107",1,0,0,0
"ENSMUSG00000107736",0,0,0,0
"ENSMUSG00000030108",1,1,4,5
"ENSMUSG00000078042",0,0,0,0
"ENSMUSG00000030109",0,0,1,0
"ENSMUSG00000040797",78,95,104,68
"ENSMUSG00000107923",0,0,0,0
"ENSMUSG00000108223",0,0,0,0
"ENSMUSG00000107752",0,0,0,0
"ENSMUSG00000107438",0,0,0,0
"ENSMUSG00000030111",0,1,1,1
"ENSMUSG00000107998",0,0,0,0
"ENSMUSG00000108022",0,0,0,0
"ENSMUSG00000059908",0,0,0,0
"ENSMUSG00000107735",0,0,0,0
"ENSMUSG00000108083",0,0,0,0
"ENSMUSG00000030131",0,0,0,0
"ENSMUSG00000108208",0,0,0,0
"ENSMUSG00000071204",0,0,0,0
"ENSMUSG00000101397",0,0,0,0
"ENSMUSG00000098864",0,0,0,0
"ENSMUSG00000030114",0,0,0,0
"ENSMUSG00000108090",0,0,0,0
"ENSMUSG00000093023",0,0,0,0
"ENSMUSG00000108183",0,0,0,0
"ENSMUSG00000007458",27,34,32,27
"ENSMUSG00000040669",14,10,15,13
"ENSMUSG00000118448",0,0,0,0
"ENSMUSG00000040657",0,0,0,0
"ENSMUSG00000107506",0,0,0,0
"ENSMUSG00000040649",5,7,5,4
"ENSMUSG00000055093",5,6,2,4
"ENSMUSG00000030116",0,0,0,0
"ENSMUSG00000040627",0,0,0,0
"ENSMUSG00000090192",0,0,0,0
"ENSMUSG00000090044",0,0,0,0
"ENSMUSG00000089931",0,0,0,0
"ENSMUSG00000040613",1,2,1,0
"ENSMUSG00000030117",0,0,0,0
"ENSMUSG00000065721",0,0,0,0
"ENSMUSG00000046323",0,0,0,0
"ENSMUSG00000072789",0,0,0,0
"ENSMUSG00000080932",0,0,0,0
"ENSMUSG00000012396",0,0,0,0
"ENSMUSG00000003153",23,48,39,58
"ENSMUSG00000107066",9,1,3,4
"ENSMUSG00000107868",0,0,1,0
"ENSMUSG00000097635",0,0,0,0
"ENSMUSG00000003154",19,9,14,15
"ENSMUSG00000106580",0,0,0,0
"ENSMUSG00000040552",3,4,0,1
"ENSMUSG00000030327",32,36,52,41
"ENSMUSG00000049249",0,0,0,0
"ENSMUSG00000049037",0,0,0,0
"ENSMUSG00000043832",0,0,1,0
"ENSMUSG00000059639",0,0,0,0
"ENSMUSG00000030147",0,0,0,0
"ENSMUSG00000030148",0,0,0,0
"ENSMUSG00000108212",0,0,0,0
"ENSMUSG00000107471",0,0,0,0
"ENSMUSG00000067767",0,0,0,0
"ENSMUSG00000089183",0,0,0,0
"ENSMUSG00000083713",0,0,0,0
"ENSMUSG00000023349",0,0,0,0
"ENSMUSG00000030144",0,0,0,0
"ENSMUSG00000030142",0,0,0,0
"ENSMUSG00000091260",0,0,0,0
"ENSMUSG00000094145",0,0,0,0
"ENSMUSG00000093944",0,0,0,0
"ENSMUSG00000093652",0,0,0,0
"ENSMUSG00000093820",0,0,0,0
"ENSMUSG00000096514",0,0,0,0
"ENSMUSG00000095175",0,0,0,0
"ENSMUSG00000093724",0,0,0,0
"ENSMUSG00000095486",0,0,0,0
"ENSMUSG00000094384",0,0,0,0
"ENSMUSG00000091620",0,0,0,0
"ENSMUSG00000088716",0,0,0,0
"ENSMUSG00000072780",0,0,0,0
"ENSMUSG00000088472",0,0,0,0
"ENSMUSG00000094672",0,0,0,0
"ENSMUSG00000108240",0,0,0,0
"ENSMUSG00000108198",0,0,0,0
"ENSMUSG00000093385",0,0,0,0
"ENSMUSG00000088999",0,0,0,0
"ENSMUSG00000096630",0,0,0,0
"ENSMUSG00000089307",0,0,0,0
"ENSMUSG00000095544",0,0,0,0
"ENSMUSG00000088241",0,0,0,0
"ENSMUSG00000107718",0,0,0,0
"ENSMUSG00000088443",0,0,0,0
"ENSMUSG00000072778",0,0,0,0
"ENSMUSG00000107921",0,0,0,0
"ENSMUSG00000107773",0,0,0,0
"ENSMUSG00000107600",0,0,0,0
"ENSMUSG00000095732",0,0,0,0
"ENSMUSG00000008845",2,0,0,0
"ENSMUSG00000079346",0,0,0,0
"ENSMUSG00000107737",0,0,0,0
"ENSMUSG00000107988",0,0,0,0
"ENSMUSG00000108026",0,0,0,0
"ENSMUSG00000005069",27,20,12,10
"ENSMUSG00000008153",67,96,77,91
"ENSMUSG00000118414",0,0,0,0
"ENSMUSG00000107552",0,0,0,0
"ENSMUSG00000038527",1,0,0,3
"ENSMUSG00000055172",1,1,1,0
"ENSMUSG00000038521",0,0,0,0
"ENSMUSG00000089961",0,0,0,0
"ENSMUSG00000107568",0,0,0,0
"ENSMUSG00000098470",1,0,0,1
"ENSMUSG00000079343",0,0,1,0
"ENSMUSG00000004270",3,2,6,1
"ENSMUSG00000004268",4,12,9,7
"ENSMUSG00000004264",22,20,12,18
"ENSMUSG00000088835",0,0,0,0
"ENSMUSG00000087327",0,0,0,1
"ENSMUSG00000099609",0,0,0,0
"ENSMUSG00000065474",0,0,0,0
"ENSMUSG00000065462",0,0,0,0
"ENSMUSG00000004266",1,0,0,0
"ENSMUSG00000092482",0,0,0,0
"ENSMUSG00000072772",7,8,7,6
"ENSMUSG00000107478",0,0,0,0
"ENSMUSG00000089083",0,0,0,0
"ENSMUSG00000004263",6,13,7,10
"ENSMUSG00000004267",237,274,236,248
"ENSMUSG00000030125",2,1,3,2
"ENSMUSG00000038451",2,1,1,1
"ENSMUSG00000023456",176,223,183,171
"ENSMUSG00000038429",26,50,34,38
"ENSMUSG00000023505",0,0,0,0
"ENSMUSG00000023439",0,0,0,0
"ENSMUSG00000023191",15,10,9,11
"ENSMUSG00000038390",105,97,79,99
"ENSMUSG00000023274",2,0,0,0
"ENSMUSG00000030124",8,2,0,2
"ENSMUSG00000030122",154,185,90,148
"ENSMUSG00000055818",1,2,0,1
"ENSMUSG00000030120",94,95,84,88
"ENSMUSG00000107578",0,0,0,0
"ENSMUSG00000030127",35,36,26,32
"ENSMUSG00000065765",0,0,0,0
"ENSMUSG00000030329",59,68,59,70
"ENSMUSG00000038346",16,8,15,14
"ENSMUSG00000108034",0,0,0,0
"ENSMUSG00000030330",1,2,0,1
"ENSMUSG00000108037",0,0,0,0
"ENSMUSG00000072770",4,4,1,2
"ENSMUSG00000067714",0,0,1,0
"ENSMUSG00000107761",0,0,1,0
"ENSMUSG00000063870",23,24,22,24
"ENSMUSG00000098762",0,0,0,0
"ENSMUSG00000088208",0,0,0,0
"ENSMUSG00000038279",7,7,8,5
"ENSMUSG00000038271",31,21,24,24
"ENSMUSG00000057666",5,10,3,8
"ENSMUSG00000038252",3,1,8,3
"ENSMUSG00000089617",0,0,0,0
"ENSMUSG00000099587",0,0,0,0
"ENSMUSG00000030335",13,8,10,10
"ENSMUSG00000093157",0,0,0,0
"ENSMUSG00000107995",0,0,0,0
"ENSMUSG00000030337",52,40,67,46
"ENSMUSG00000038213",3,3,2,3
"ENSMUSG00000030336",0,0,0,0
"ENSMUSG00000098856",0,0,0,0
"ENSMUSG00000107965",0,0,0,0
"ENSMUSG00000089556",0,0,0,0
"ENSMUSG00000108129",0,0,0,0
"ENSMUSG00000067702",0,0,0,0
"ENSMUSG00000030339",7,5,3,4
"ENSMUSG00000030340",3,3,5,3
"ENSMUSG00000030341",3,6,0,4
"ENSMUSG00000038167",0,0,0,0
"ENSMUSG00000030342",5,3,2,1
"ENSMUSG00000101191",0,0,0,0
"ENSMUSG00000101162",0,1,0,0
"ENSMUSG00000001930",2,1,4,3
"ENSMUSG00000038115",0,0,1,1
"ENSMUSG00000089834",0,0,0,0
"ENSMUSG00000088959",0,0,0,0
"ENSMUSG00000049107",1,1,0,1
"ENSMUSG00000107623",0,0,0,0
"ENSMUSG00000101659",0,0,0,0
"ENSMUSG00000108163",0,0,0,0
"ENSMUSG00000045534",2,1,0,3
"ENSMUSG00000110390",5,4,1,4
"ENSMUSG00000102771",3,2,1,0
"ENSMUSG00000047976",1,1,5,1
"ENSMUSG00000038077",26,24,25,19
"ENSMUSG00000097596",1,0,1,0
"ENSMUSG00000118420",0,0,0,0
"ENSMUSG00000000399",12,11,7,13
"ENSMUSG00000107368",0,0,0,0
"ENSMUSG00000030344",0,0,0,0
"ENSMUSG00000030345",0,0,0,0
"ENSMUSG00000030346",0,0,1,1
"ENSMUSG00000106878",0,0,0,0
"ENSMUSG00000030347",5,3,4,0
"ENSMUSG00000106898",0,0,0,0
"ENSMUSG00000107389",0,0,0,0
"ENSMUSG00000000183",0,0,0,0
"ENSMUSG00000000182",0,1,0,0
"ENSMUSG00000038028",8,9,7,8
"ENSMUSG00000097525",0,0,0,0
"ENSMUSG00000107379",0,0,0,0
"ENSMUSG00000000184",12,23,8,8
"ENSMUSG00000097166",0,0,0,2
"ENSMUSG00000107378",0,0,0,0
"ENSMUSG00000106755",50,75,33,55
"ENSMUSG00000062365",0,0,0,0
"ENSMUSG00000107013",0,0,0,0
"ENSMUSG00000081113",90,105,103,121
"ENSMUSG00000107153",0,0,0,0
"ENSMUSG00000107045",0,0,0,0
"ENSMUSG00000106843",0,0,0,0
"ENSMUSG00000107243",0,0,0,0
"ENSMUSG00000106883",0,0,0,0
"ENSMUSG00000037997",2,1,5,3
"ENSMUSG00000106962",0,0,0,0
"ENSMUSG00000061414",2,1,2,0
"ENSMUSG00000107253",0,0,0,0
"ENSMUSG00000030350",13,15,18,22
"ENSMUSG00000106833",0,0,0,0
"ENSMUSG00000107219",0,0,0,0
"ENSMUSG00000106905",2,1,3,0
"ENSMUSG00000107042",0,0,0,0
"ENSMUSG00000104804",0,0,0,0
"ENSMUSG00000106862",0,0,0,0
"ENSMUSG00000088177",1,1,0,0
"ENSMUSG00000107060",0,1,0,0
"ENSMUSG00000030351",3,0,1,0
"ENSMUSG00000085813",0,0,1,0
"ENSMUSG00000030352",24,27,21,29
"ENSMUSG00000076327",0,0,0,0
"ENSMUSG00000108220",0,0,1,0
"ENSMUSG00000107879",12,11,11,13
"ENSMUSG00000107810",0,0,0,0
"ENSMUSG00000056771",0,0,0,0
"ENSMUSG00000097979",0,0,1,1
"ENSMUSG00000107873",0,0,0,0
"ENSMUSG00000108280",0,0,0,0
"ENSMUSG00000030353",0,0,0,0
"ENSMUSG00000095262",0,0,0,0
