"","GeneID","Length","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000073411","ENSMUSG00000073411",2579,1.53552679642032,7.19028108705743,26.7556936754957,2.30870473508801e-07,0.000147011690147683
"ENSMUSG00000018774","ENSMUSG00000018774",1257,2.51940704465668,5.85287091323287,26.7079391561933,2.36647192745228e-07,0.000147011690147683
"ENSMUSG00000029816","ENSMUSG00000029816",6514,3.50875094230462,5.16015566769005,24.9061004638023,6.0191651024915e-07,0.000352222519891805
"ENSMUSG00000046805","ENSMUSG00000046805",4334,2.20914861730003,5.62259826884855,24.8536381174487,6.18522022199702e-07,0.000352222519891805
"ENSMUSG00000059498","ENSMUSG00000059498",1736,2.03385028996498,5.58813117361705,23.268107742082,1.40917415850854e-06,0.000770367328973449
"ENSMUSG00000024621","ENSMUSG00000024621",5774,1.1803881652509,7.47943518862099,21.4414817997491,3.64793000652062e-06,0.00191754843842759
"ENSMUSG00000097415","ENSMUSG00000097415",3189,4.08769813523481,4.17565230106967,21.0687241553114,4.43101652146739e-06,0.00224291491847759
"ENSMUSG00000030124","ENSMUSG00000030124",2109,2.9084786443633,4.71233802488461,20.4658113829294,6.07059710544649e-06,0.00296310180857633
"ENSMUSG00000020101","ENSMUSG00000020101",5014,1.56310528660574,6.16429240489061,19.3088786621619,1.11188118395477e-05,0.00524002763486546
"ENSMUSG00000026701","ENSMUSG00000026701",4804,1.00182868619586,8.4197098088177,18.6509896822749,1.56965773035516e-05,0.00715083740025464
"ENSMUSG00000015852","ENSMUSG00000015852",2334,1.72450352737521,5.89455638841301,18.1934234150748,1.99566771434756e-05,0.00879831956515745
"ENSMUSG00000040896","ENSMUSG00000040896",9587,-1.71401784490247,5.6304212941192,18.1039307601646,2.09169184155088e-05,0.00893348512452372
"ENSMUSG00000044811","ENSMUSG00000044811",1275,3.24325592855803,4.22432503304222,17.2112810226549,3.34444458813677e-05,0.0138510679351713
"ENSMUSG00000026656","ENSMUSG00000026656",5790,3.24375787778933,4.22496612812718,16.9529720402052,3.8317286486807e-05,0.0154024221886821
"ENSMUSG00000027447","ENSMUSG00000027447",1266,1.02051924878555,11.3546904771577,16.8108308987199,4.12969281967535e-05,0.0161258605047151
"ENSMUSG00000060802","ENSMUSG00000060802",860,1.0564491202354,7.63178710732911,16.1024111307011,6.0007587579539e-05,0.0227812138735989
"ENSMUSG00000025534","ENSMUSG00000025534",4548,1.88565443585758,5.38739874990453,15.7176386243271,7.35352359064982e-05,0.0271623261928138
"ENSMUSG00000029119","ENSMUSG00000029119",3528,1.36023837130924,5.97886182638711,15.4163631625398,8.6238298005207e-05,0.0310162847062412
"ENSMUSG00000030342","ENSMUSG00000030342",2044,1.3289858927093,6.37986091115946,15.341857584106,8.9706709048552e-05,0.0314364510914503
"ENSMUSG00000050708","ENSMUSG00000050708",1340,0.918092964736476,8.53817617595593,15.0110852612077,0.000106881498612623,0.0365187360384679
"ENSMUSG00000021423","ENSMUSG00000021423",3632,1.71024250229624,5.53175729166349,14.8484689313111,0.000116502602691025,0.0388351480726401
"ENSMUSG00000017760","ENSMUSG00000017760",4715,1.08829871163827,7.74332411661204,14.757130390511,0.000122284208210958,0.0393489107685139
"ENSMUSG00000020150","ENSMUSG00000020150",1444,2.59126897264961,4.48920815297755,14.7338709321348,0.000123802089928009,0.0393489107685139
"ENSMUSG00000027188","ENSMUSG00000027188",6046,-2.06193152874215,5.0090830095928,14.5932370230681,0.000133392410514069,0.041433501693086
"ENSMUSG00000000290","ENSMUSG00000000290",3052,2.29837571340015,4.74272630738247,14.3213688645891,0.000154105586176554,0.0468035788061102
"ENSMUSG00000033685","ENSMUSG00000033685",6989,1.36547621864847,5.82653827340894,13.8869428756817,0.000194142545191952,0.057681438372574
"ENSMUSG00000045624","ENSMUSG00000045624",4471,-2.70043608356435,4.35514684562788,13.8444650634478,0.000198580790998639,0.0577447589484767
"ENSMUSG00000026288","ENSMUSG00000026288",7602,2.22186246950293,4.87076679368361,13.7193499719329,0.000212256319344549,0.0604355649267074
"ENSMUSG00000005142","ENSMUSG00000005142",8026,1.11674292756762,6.73238210746023,13.6144719110859,0.000224448611730539,0.062602840337169
"ENSMUSG00000015085","ENSMUSG00000015085",2128,2.28420186191455,4.52753022469785,13.4871745182716,0.000240199613625586,0.0656561623884176
"ENSMUSG00000022817","ENSMUSG00000022817",3553,1.00582960064307,6.96334488714345,13.2748711522753,0.000268987373628583,0.0720833418702321
"ENSMUSG00000042215","ENSMUSG00000042215",3059,-3.53911828697484,3.89646044375446,13.1257483652949,0.00029126499105242,0.0765522813983352
"ENSMUSG00000023034","ENSMUSG00000023034",3509,-1.01284889738564,7.33270181909743,13.0346982557504,0.000305772486775242,0.078445193882575
"ENSMUSG00000027499","ENSMUSG00000027499",3721,-1.4507312740478,5.73356206217497,13.0093070241877,0.000309946621033076,0.078445193882575
"ENSMUSG00000026356","ENSMUSG00000026356",4358,-1.72636401728373,5.16750519783629,12.9499832223387,0.000319924360569423,0.0793442298443241
"ENSMUSG00000021242","ENSMUSG00000021242",5438,1.01376675249339,7.01022387580304,12.9198846714472,0.000325109890340393,0.0793442298443241
"ENSMUSG00000061232","ENSMUSG00000061232",2938,1.05774607963615,6.585494689979,12.6633322847708,0.000372897001779932,0.0890343102542646
"ENSMUSG00000024644","ENSMUSG00000024644",4249,1.17695230919325,6.16685035951698,12.6386946850485,0.000377843710744666,0.0890343102542646
"ENSMUSG00000022037","ENSMUSG00000022037",3437,0.830089834621202,10.633311112606,12.1579449649452,0.00048879203296846,0.112834857432319
"ENSMUSG00000021477","ENSMUSG00000021477",6489,0.893981453006487,7.45783933759888,12.1330496820492,0.000495360462862307,0.112834857432319
"ENSMUSG00000030287","ENSMUSG00000030287",14802,1.98646114700586,4.70967374626734,12.0541754888583,0.000516764994956966,0.115780773542244
"ENSMUSG00000022428","ENSMUSG00000022428",1228,1.37833216381179,5.6609996327103,12.0108004154699,0.000528931367545478,0.11659524193942
"ENSMUSG00000039191","ENSMUSG00000039191",12750,-2.8647893507863,4.06654718344415,11.9633462485907,0.000542573430096402,0.117703985224247
"ENSMUSG00000053819","ENSMUSG00000053819",22493,-1.36418162592081,5.61270514505088,11.7402851951122,0.000611616507349422,0.12995249706485
"ENSMUSG00000024610","ENSMUSG00000024610",1679,1.83698447348251,5.14900257931737,11.7208063661292,0.000618051679901606,0.12995249706485
"ENSMUSG00000075289","ENSMUSG00000075289",4525,2.56343375791114,4.17500191020358,11.628795803127,0.000649385826215789,0.134472061922594
"ENSMUSG00000022103","ENSMUSG00000022103",3539,-1.61389721776616,5.55463993381832,11.566757037799,0.000671414152327997,0.13695846596816
"ENSMUSG00000071042","ENSMUSG00000071042",5840,2.16083895476134,4.44754418757599,11.3941814977172,0.000736745034159248,0.148074917380213
"ENSMUSG00000000682","ENSMUSG00000000682",1187,3.36279764856144,3.70894920841153,11.3505636463085,0.00075425074650329,0.149396303658847
"ENSMUSG00000021303","ENSMUSG00000021303",3340,-1.35430259132612,5.7341050949687,11.2164242028961,0.000810765642761494,0.158296200566019
"ENSMUSG00000021395","ENSMUSG00000021395",4498,-0.973734529131948,7.00714524344507,11.1703228638456,0.000831161618684064,0.159992758345846
"ENSMUSG00000021250","ENSMUSG00000021250",2352,-1.59905806265265,5.28563478977135,11.0859120701409,0.000869860285277984,0.165116396095753
"ENSMUSG00000021567","ENSMUSG00000021567",4826,2.48350416620818,4.1249225692912,10.9891247429581,0.000916480822511348,0.169340218553786
"ENSMUSG00000040543","ENSMUSG00000040543",9815,-1.01652515899306,6.46816757261614,10.9882914842635,0.000916892966487172,0.169340218553786
"ENSMUSG00000031150","ENSMUSG00000031150",4165,1.80010973224709,4.74357620125584,10.7479933843372,0.00104392448454302,0.190230879069992
"ENSMUSG00000022831","ENSMUSG00000022831",2525,2.0939580028535,4.40528001229841,10.6265316502327,0.00111476597933677,0.199651868425781
"ENSMUSG00000029810","ENSMUSG00000029810",2371,1.26006805680905,6.05221144442846,10.6098955932258,0.00112484040892552,0.199651868425781
"ENSMUSG00000030798","ENSMUSG00000030798",3522,2.09678764110323,4.60553390093439,10.4451038384453,0.00122974993276682,0.213058485732183
"ENSMUSG00000002985","ENSMUSG00000002985",2138,0.84631625054846,11.9933291953672,10.4219641676264,0.00124525384694385,0.213058485732183
"ENSMUSG00000057101","ENSMUSG00000057101",4560,-1.36422898674004,5.6122510408907,10.4013069893833,0.00125926152005531,0.213058485732183
"ENSMUSG00000032359","ENSMUSG00000032359",4499,1.5733248087046,5.17838471635923,10.3762396252685,0.00127647412530301,0.213058485732183
"ENSMUSG00000051726","ENSMUSG00000051726",4789,-1.25659118958423,6.48350081237018,10.3564703539744,0.00129021658469866,0.213058485732183
"ENSMUSG00000025351","ENSMUSG00000025351",3682,0.875823997260618,6.94278211033826,10.3511949321158,0.00129390900093445,0.213058485732183
"ENSMUSG00000034209","ENSMUSG00000034209",1413,1.15402595790691,6.07149180160377,10.2836878055206,0.00134211431875456,0.217086039742964
"ENSMUSG00000032060","ENSMUSG00000032060",1479,0.862727970089786,6.9350823741823,10.2726923786839,0.00135013634141742,0.217086039742964
"ENSMUSG00000021190","ENSMUSG00000021190",2323,0.809176713612636,7.41968996188105,10.2155390636325,0.00139262283337166,0.22025035430492
"ENSMUSG00000028600","ENSMUSG00000028600",4270,-3.22313147989053,3.7044662063304,10.2031004738036,0.00140204732746968,0.22025035430492
"ENSMUSG00000002111","ENSMUSG00000002111",2695,2.39693837971104,4.0719938749747,10.0809211496191,0.00149812420944761,0.230249069147474
"ENSMUSG00000020319","ENSMUSG00000020319",5934,3.24021365019428,3.6386512151086,10.034081458869,0.00153670157534717,0.230249069147474
"ENSMUSG00000041426","ENSMUSG00000041426",6059,2.7380765151526,3.90229975628798,10.0265958881656,0.00154295930975552,0.230249069147474
"ENSMUSG00000050074","ENSMUSG00000050074",821,1.736565515648,4.96366182474368,10.0243081074656,0.00154487697706672,0.230249069147474
"ENSMUSG00000026841","ENSMUSG00000026841",4751,1.19281935669237,7.25826831057997,10.018291758341,0.00154993154032104,0.230249069147474
"ENSMUSG00000020732","ENSMUSG00000020732",5330,-3.44134075822993,3.83498299000072,9.99041759551091,0.00157356915592501,0.231246985527173
"ENSMUSG00000022419","ENSMUSG00000022419",8874,-3.22354490910743,3.70456448631331,9.95434870410299,0.00160469887049481,0.233312973011198
"ENSMUSG00000035559","ENSMUSG00000035559",1322,1.73978529208249,4.84278809341677,9.90578900169887,0.00164759677115237,0.237028474435152
"ENSMUSG00000001025","ENSMUSG00000001025",1367,1.55254941653917,5.34387013227008,9.82724749777916,0.00171945467173098,0.244789447901534
"ENSMUSG00000031095","ENSMUSG00000031095",3873,-2.68829403243984,3.95528903611733,9.75262612661863,0.00179066724896966,0.250769411078331
"ENSMUSG00000045903","ENSMUSG00000045903",4136,-1.50247696478689,5.5563579042482,9.74495401015851,0.00179815630977365,0.250769411078331
"ENSMUSG00000030137","ENSMUSG00000030137",2263,2.17768522608879,4.22348935951475,9.70130989721384,0.00184136708251653,0.251818979442049
"ENSMUSG00000026999","ENSMUSG00000026999",3366,2.17909891994888,4.22467700859631,9.68213250672989,0.00186068546062601,0.251818979442049
"ENSMUSG00000039096","ENSMUSG00000039096",4391,2.39686340125195,4.07208946599364,9.68186311785328,0.00186095828811348,0.251818979442049
"ENSMUSG00000052301","ENSMUSG00000052301",2803,-1.7553916508739,5.0626943765135,9.51732640648748,0.00203540905315797,0.272724858132451
"ENSMUSG00000003812","ENSMUSG00000003812",5389,2.02290543343039,4.36140956076962,9.47566107960852,0.0020821584023813,0.275411869542883
"ENSMUSG00000064215","ENSMUSG00000064215",1467,0.906148928060044,6.51850150461016,9.46371141223149,0.00209576603734981,0.275411869542883
"ENSMUSG00000036833","ENSMUSG00000036833",7496,1.38928904602842,5.32028182985719,9.44350416271374,0.00211898249369947,0.275810797537053
"ENSMUSG00000026479","ENSMUSG00000026479",8039,-3.22341538475142,3.70426966212605,9.41151877365559,0.00215626549197412,0.276631152484414
"ENSMUSG00000001751","ENSMUSG00000001751",2658,1.35090156448481,5.29606094549667,9.40345729471068,0.00216576668733682,0.276631152484414
"ENSMUSG00000018293","ENSMUSG00000018293",2405,0.88774521532401,6.84666296630334,9.35484889549215,0.00222396302942715,0.279051002387719
"ENSMUSG00000021939","ENSMUSG00000021939",6051,0.686713185316606,9.64784605637382,9.33778780630453,0.00224476339342987,0.279051002387719
"ENSMUSG00000048163","ENSMUSG00000048163",4272,1.20498536222892,6.22097799614623,9.33537701154795,0.00224771843271867,0.279051002387719
"ENSMUSG00000024430","ENSMUSG00000024430",2505,-2.10363919391838,4.26613554661643,9.32022359848306,0.00226638335150631,0.279051002387719
"ENSMUSG00000092607","ENSMUSG00000092607",2165,1.41052018270888,5.40834983097805,9.17668137532056,0.00245118076659665,0.299109710152468
"ENSMUSG00000051518","ENSMUSG00000051518",1083,1.63743512605511,4.77815418314746,9.09797621413981,0.00255892476251547,0.307822612596893
"ENSMUSG00000028232","ENSMUSG00000028232",3462,-2.589599797561,3.89736274135139,9.09176585473586,0.00256762843609027,0.307822612596893
"ENSMUSG00000079293","ENSMUSG00000079293",2638,3.23426833530853,3.63693526439641,8.99143874190678,0.00271247358844591,0.322359795941654
"ENSMUSG00000026928","ENSMUSG00000026928",2293,3.10541325462042,3.56416789545386,8.96005298073173,0.0027594689098133,0.322534678986826
"ENSMUSG00000019737","ENSMUSG00000019737",2946,3.10537439701607,3.56426742153262,8.95894419973099,0.00276114417512685,0.322534678986826
"ENSMUSG00000024387","ENSMUSG00000024387",2067,0.871013111223189,6.90012086042297,8.9396029369303,0.00279053373415178,0.323205292751291
"ENSMUSG00000047810","ENSMUSG00000047810",5032,2.09720788680932,4.17531124086755,8.90011422508272,0.00285152817716845,0.324965412672845
"ENSMUSG00000018927","ENSMUSG00000018927",1795,2.63364457632078,3.84109020025686,8.89898942058221,0.00285328525065789,0.324965412672845
"ENSMUSG00000028927","ENSMUSG00000028927",5013,1.28664221817077,5.40418047823608,8.8389098932572,0.00294875222624492,0.333062782447019
"ENSMUSG00000078789","ENSMUSG00000078789",2690,-2.33278160110106,4.11987930220389,8.80793665111209,0.00299923016920265,0.334137808831378
"ENSMUSG00000030220","ENSMUSG00000030220",1707,1.75850368718969,4.56590707664484,8.79444198056395,0.00302149650409404,0.334137808831378
"ENSMUSG00000031875","ENSMUSG00000031875",2986,1.75956217637173,4.56634446676567,8.78170129539092,0.00304267287213704,0.334137808831378
"ENSMUSG00000031765","ENSMUSG00000031765",1246,0.811778402390994,8.93465205455209,8.77369100777325,0.00305606395726365,0.334137808831378
"ENSMUSG00000020175","ENSMUSG00000020175",6179,1.16501185260778,5.58599516190744,8.72997417152881,0.00313020931246016,0.339528338677723
"ENSMUSG00000048388","ENSMUSG00000048388",5744,-0.873740947109647,7.09989799797593,8.68263566125614,0.00321256061869703,0.343942815184186
"ENSMUSG00000021219","ENSMUSG00000021219",10023,-1.53256599632393,4.92481482486179,8.67643707332489,0.00322350566024403,0.343942815184186
"ENSMUSG00000020262","ENSMUSG00000020262",11272,-0.757012935124138,7.44213053514878,8.66353696724719,0.00324640544075218,0.343942815184186
"ENSMUSG00000026185","ENSMUSG00000026185",6006,0.780492624159902,7.53591290582655,8.58703699995574,0.0033856444577114,0.35223100341104
"ENSMUSG00000048483","ENSMUSG00000048483",3651,-0.937474847490544,6.25172922363377,8.57611810095912,0.00340600738205299,0.35223100341104
"ENSMUSG00000020096","ENSMUSG00000020096",2426,1.90810049452574,4.48778662250931,8.56980500007306,0.00341783759711323,0.35223100341104
"ENSMUSG00000031760","ENSMUSG00000031760",1066,0.783321559458794,9.00824310402621,8.56454545493288,0.00342772543013597,0.35223100341104
"ENSMUSG00000079017","ENSMUSG00000079017",463,2.4705602344925,4.12226058884621,8.53088433644254,0.00349170000728979,0.352589027366905
"ENSMUSG00000020964","ENSMUSG00000020964",8555,-0.903687548376561,6.45781136212857,8.50688523263091,0.00353805160578197,0.352589027366905
"ENSMUSG00000036850","ENSMUSG00000036850",888,1.03697495744093,6.1162624299476,8.50673191794578,0.00353834971848327,0.352589027366905
"ENSMUSG00000007656","ENSMUSG00000007656",4957,-0.925236220554869,6.97019863171477,8.49575678121294,0.00355975681151123,0.352589027366905
"ENSMUSG00000022246","ENSMUSG00000022246",8462,-2.59083933352418,3.89651211998,8.49552906330129,0.00356020236896414,0.352589027366905
"ENSMUSG00000022323","ENSMUSG00000022323",3192,1.21221456421257,5.42722296486649,8.47467381912026,0.00360124951550135,0.354088324664438
"ENSMUSG00000036098","ENSMUSG00000036098",8562,1.02369759432921,5.94758330887641,8.39428017088863,0.00376403539110458,0.363775995681052
"ENSMUSG00000028684","ENSMUSG00000028684",2591,1.09775296367392,5.95033827111342,8.39175978887923,0.00376925810473212,0.363775995681052
"ENSMUSG00000038418","ENSMUSG00000038418",4484,-1.046826841533,7.424612941131,8.38676544073719,0.00377962913490228,0.363775995681052
"ENSMUSG00000021974","ENSMUSG00000021974",4649,-1.87162915893646,4.35606129873468,8.33120673912766,0.00389697626983712,0.371424861833626
"ENSMUSG00000036814","ENSMUSG00000036814",4084,-1.94380250126071,4.39866587713399,8.27614806469602,0.00401692552596395,0.371424861833626
"ENSMUSG00000029097","ENSMUSG00000029097",5154,3.10173322186737,3.56311813162115,8.26822407407507,0.00403449512518392,0.371424861833626
"ENSMUSG00000002728","ENSMUSG00000002728",3705,-1.0516365739289,5.76980411794205,8.25527728151603,0.00406337004740498,0.371424861833626
"ENSMUSG00000022587","ENSMUSG00000022587",3784,0.701654966247642,8.30475371594615,8.25505470180704,0.00406386829614891,0.371424861833626
"ENSMUSG00000014599","ENSMUSG00000014599",5281,1.47753941933271,5.02030833362091,8.25014541190269,0.00407487365359482,0.371424861833626
"ENSMUSG00000028125","ENSMUSG00000028125",12022,-2.48454808429453,3.83598685182206,8.23248537475654,0.0041147142955195,0.371424861833626
"ENSMUSG00000025192","ENSMUSG00000025192",8963,-2.48454808429453,3.83598685182206,8.23248537475654,0.0041147142955195,0.371424861833626
"ENSMUSG00000009927","ENSMUSG00000009927",2691,0.718185570398538,8.41838945328321,8.21989881134815,0.00414335105135861,0.371424861833626
"ENSMUSG00000042500","ENSMUSG00000042500",6947,-2.4846158043684,3.83608414924344,8.21964565714632,0.00414392910009031,0.371424861833626
"ENSMUSG00000032064","ENSMUSG00000032064",9971,-1.48617093578248,5.11775552461537,8.21197281228758,0.00416148816341371,0.371424861833626
"ENSMUSG00000047485","ENSMUSG00000047485",1935,-2.24809757915742,4.06697944252595,8.20165397047417,0.00418522197427222,0.371424861833626
"ENSMUSG00000040631","ENSMUSG00000040631",3054,1.48785310515218,4.80932490474658,8.16095452257334,0.0042801838597066,0.3739866656501
"ENSMUSG00000001750","ENSMUSG00000001750",4603,1.10135126638787,5.60373281771369,8.15858223507166,0.00428578617199084,0.3739866656501
"ENSMUSG00000035697","ENSMUSG00000035697",4478,1.75620997718537,4.7128303858538,8.15418889310297,0.00429618105707658,0.3739866656501
"ENSMUSG00000025220","ENSMUSG00000025220",8592,-0.973948539215993,6.46560247932858,8.12922802174908,0.00435572891516752,0.37677055116199
"ENSMUSG00000092300","ENSMUSG00000092300",1548,3.11071951275165,3.56541746351547,8.03585409170159,0.00458603810464341,0.384171367886054
"ENSMUSG00000031610","ENSMUSG00000031610",700,1.36071903690761,5.04532862420801,8.02663333652219,0.00460944389112378,0.384171367886054
"ENSMUSG00000115632","ENSMUSG00000115632",802,2.20689939659222,3.95993103725588,8.00951577821414,0.00465321784608502,0.384171367886054
"ENSMUSG00000022146","ENSMUSG00000022146",12113,2.2067965753475,3.96002754172947,8.00573275903175,0.00466294897740113,0.384171367886054
"ENSMUSG00000028869","ENSMUSG00000028869",3683,-1.02469329226965,6.03996651238672,7.99983628569981,0.00467815793565232,0.384171367886054
"ENSMUSG00000041594","ENSMUSG00000041594",8280,-2.96583642572928,3.56099528857533,7.99889276458309,0.00468059627426265,0.384171367886054
"ENSMUSG00000021876","ENSMUSG00000021876",1637,1.17050555145383,5.52948851815273,7.99786655884725,0.00468324976408738,0.384171367886054
"ENSMUSG00000040037","ENSMUSG00000040037",10506,-1.08622778709994,5.73502776475111,7.99055425702271,0.0047022018042345,0.384171367886054
"ENSMUSG00000085007","ENSMUSG00000085007",5992,-1.59469112660296,4.70288029834736,7.98769807531979,0.00470962566130493,0.384171367886054
"ENSMUSG00000044080","ENSMUSG00000044080",694,0.883026052238053,6.5318807416295,7.96716937816577,0.0047633368299657,0.384171367886054
"ENSMUSG00000029130","ENSMUSG00000029130",6761,2.10117265896474,4.17650473080605,7.96187171837453,0.00477729861074358,0.384171367886054
"ENSMUSG00000113555","ENSMUSG00000113555",483,1.12877112826265,5.96648330038707,7.96137854713781,0.00477860046393716,0.384171367886054
"ENSMUSG00000000266","ENSMUSG00000000266",8114,-3.10314125773159,3.63449570236624,7.94645345739349,0.0048181705423758,0.385087349723099
"ENSMUSG00000034911","ENSMUSG00000034911",6461,-1.87039729600837,4.35641422328876,7.9287309081625,0.00486559118887702,0.386431999124426
"ENSMUSG00000020134","ENSMUSG00000020134",6553,1.9459956196212,4.3152927652415,7.91759453136106,0.00489563205849787,0.386431999124426
"ENSMUSG00000003873","ENSMUSG00000003873",1576,0.960549039143086,5.99152664177749,7.90326717746632,0.0049345588812875,0.386431999124426
"ENSMUSG00000062372","ENSMUSG00000062372",7904,-1.72664570421727,4.63301135317705,7.898312449399,0.00494809393771673,0.386431999124426
"ENSMUSG00000021252","ENSMUSG00000021252",4235,1.10273256744305,5.54758436070093,7.86863445801256,0.00502996236427178,0.390367016641535
"ENSMUSG00000050854","ENSMUSG00000050854",2339,2.20842240776478,3.96104926108126,7.8513943128946,0.00507815277490054,0.390367016641535
"ENSMUSG00000034957","ENSMUSG00000034957",2636,1.32679427838344,5.20125847480909,7.84925394844778,0.00508416835898099,0.390367016641535
"ENSMUSG00000069744","ENSMUSG00000069744",2300,0.766722011539588,6.93593871275728,7.83821432285151,0.00511531121734894,0.390564013449765
"ENSMUSG00000074656","ENSMUSG00000074656",6755,-1.02548993764048,5.75362309878746,7.80208612335387,0.00521859508586343,0.391569172828769
"ENSMUSG00000024082","ENSMUSG00000024082",3503,-1.15672416841039,5.47960898234567,7.79256659126464,0.00524616182788727,0.391569172828769
"ENSMUSG00000019863","ENSMUSG00000019863",3876,-2.15519308858649,4.01311006147013,7.79058486187779,0.00525191917771583,0.391569172828769
"ENSMUSG00000003464","ENSMUSG00000003464",3815,0.84652121027642,6.51000527442087,7.78360506661776,0.00527224832279686,0.391569172828769
"ENSMUSG00000036591","ENSMUSG00000036591",9271,-0.873103618319393,6.49942947824244,7.78323374295974,0.00527333207357297,0.391569172828769
"ENSMUSG00000025868","ENSMUSG00000025868",648,0.897404993678959,6.80863918129989,7.76120248335011,0.00533804097913673,0.391569172828769
"ENSMUSG00000022212","ENSMUSG00000022212",4257,0.880450247506209,9.55588890492685,7.75974417009435,0.00534235270782269,0.391569172828769
"ENSMUSG00000030844","ENSMUSG00000030844",1711,1.33151491855759,5.20294785451772,7.75203953182163,0.00536519166561283,0.391569172828769
"ENSMUSG00000022661","ENSMUSG00000022661",3321,-0.916824763779508,6.16870295252668,7.74180537013601,0.0053956829360033,0.391569172828769
"ENSMUSG00000031762","ENSMUSG00000031762",588,0.790958822105501,6.89054884207139,7.73514466408336,0.00541562244247987,0.391569172828769
"ENSMUSG00000005672","ENSMUSG00000005672",8911,1.02498800533226,5.85975593325189,7.72582971200294,0.00544363377752734,0.391569172828769
"ENSMUSG00000027465","ENSMUSG00000027465",4171,0.855887170145933,6.37513104441483,7.70757501667617,0.00549895733851814,0.393477748405902
"ENSMUSG00000050063","ENSMUSG00000050063",1513,2.95737991545516,3.48635567130564,7.68998957332833,0.0055527948363648,0.39526066160728
"ENSMUSG00000043065","ENSMUSG00000043065",5416,-1.9454360691243,4.17024771240972,7.60954147374603,0.00580602459978552,0.411144757540252
"ENSMUSG00000032872","ENSMUSG00000032872",6736,-1.3529189779055,5.21620772575532,7.56059842411027,0.00596581789200462,0.42028264500014
"ENSMUSG00000062647","ENSMUSG00000062647",1781,0.698643501075639,8.29446366026827,7.54912165197343,0.00600393328353909,0.420798749672455
"ENSMUSG00000022307","ENSMUSG00000022307",7136,-0.8157439038066,6.54740739691676,7.50048008342368,0.00616825482475769,0.428002119007279
"ENSMUSG00000035824","ENSMUSG00000035824",3571,1.01570973522399,5.76057480373672,7.49267757807812,0.00619503735096246,0.428002119007279
"ENSMUSG00000028572","ENSMUSG00000028572",8318,-1.44644597831095,4.98179569698019,7.4910439284278,0.00620065995196028,0.428002119007279
"ENSMUSG00000026425","ENSMUSG00000026425",12560,0.937137131443014,6.16505478865253,7.4438781717239,0.00636525816879107,0.435124107026261
